Poll,Poll type,Vote total,Liberal,Conservative,Green,NDP
133,Regular,147,26.53,33.33,36.05,4.08
134,Regular,154,34.42,37.01,24.03,3.25
135,Regular,234,26.07,45.3,21.79,5.13
136,Regular,128,21.88,36.72,38.28,2.34
137,Regular,117,26.5,42.74,26.5,3.42
138,Regular,124,20.97,41.94,27.42,5.65
139,Regular,141,29.79,38.3,24.11,2.13
140,Regular,120,35.83,47.5,16.67,0
141,Regular,193,33.16,36.27,24.87,3.11
142,Regular,158,23.42,46.2,28.48,1.27
143,Regular,117,33.33,39.32,25.64,0.85
144,Regular,166,18.07,38.55,41.57,1.81
145,Regular,151,22.52,37.09,33.77,2.65
146,Regular,150,28.67,38,30.67,2.67
147,Regular,124,19.35,45.97,33.87,0.81
148,Regular,183,34.97,32.79,26.78,3.83
149,Regular,155,25.81,41.29,26.45,4.52
150,Regular,142,26.06,38.03,30.99,4.23
151,Regular,172,38.37,29.65,31.4,0.58
152,Regular,179,26.26,37.43,34.08,0.56
153,Regular,156,26.28,46.79,19.87,3.21
154,Regular,280,27.86,37.86,27.14,5.71
155,Regular,141,31.21,36.88,24.82,4.26
156,Regular,208,22.6,47.12,24.04,3.37
157,Regular,120,30.83,44.17,20.83,2.5
158,Regular,86,36.05,31.4,27.91,2.33
159,Regular,135,23.7,34.81,38.52,1.48
160,Regular,186,30.11,27.42,38.17,2.15
161,Regular,205,25.37,39.51,34.15,0.49
162,Regular,135,25.19,38.52,34.07,0.74
163,Regular,116,23.28,24.14,39.66,9.48
164,Regular,149,26.85,20.81,51.68,0
165,Regular,98,23.47,28.57,44.9,1.02
166,Regular,174,23.56,31.61,44.25,0.57
167,Regular,145,24.14,31.03,39.31,3.45
168,Regular,115,33.91,39.13,19.13,5.22
169,Regular,109,26.61,37.61,28.44,2.75
170,Regular,118,26.27,48.31,17.8,2.54
171,Regular,189,29.1,38.1,26.46,4.23
172,Regular,158,23.42,46.84,27.22,1.9
173A,Regular,122,29.51,38.52,28.69,1.64
173B,Merged with 507,-,,,,
174,Regular,172,29.07,38.95,22.67,4.65
175,Regular,110,20.91,46.36,24.55,4.55
176,Regular,135,29.63,31.11,33.33,4.44
177,Regular,215,27.91,42.33,23.26,4.19
178,Regular,139,28.06,36.69,31.65,2.16
179,Regular,215,33.49,33.02,24.65,4.65
180,Regular,175,32,40,23.43,1.14
181,Regular,103,25.24,39.81,29.13,0
182,Regular,156,33.97,39.74,21.15,2.56
183,Regular,179,29.05,35.75,32.4,1.12
184,Regular,253,37.15,25.69,35.18,1.19
185,Regular,160,22.5,43.75,29.38,1.25
186,Regular,135,33.33,39.26,20,5.19
187,Regular,96,20.83,23.96,47.92,5.21
400,Merged with 401,-,,,,
401,Regular,251,46.22,24.7,26.69,2.39
402,Merged with 403,-,,,,
403,Regular,200,30,26.5,39.5,2
404,Merged with 405,-,,,,
405,Regular,104,24.04,20.19,51.92,2.88
406,Regular,183,28.96,34.43,31.69,2.73
407,Regular,196,41.84,29.08,25,2.55
408,Merged with 177,-,,,,
500,Merged with 108B,-,,,,
501,Mobile poll,131,38.93,25.95,22.14,6.11
502,Merged with 108B,-,,,,
503,Merged with 504,-,,,,
504,Mobile poll,113,38.94,33.63,15.93,4.42
505,Merged with 507,-,,,,
506,Merged with 501,-,,,,
507,Mobile poll,87,43.68,35.63,9.2,6.9
508,Merged with 501,-,,,,
600,Advance poll,1367,34.67,43.38,18.22,2.56
601,Advance poll,2132,29.88,40.99,27.25,1.03
602,Advance poll,2049,34.99,36.26,26.06,1.56
603,Advance poll,2143,31.78,44.66,21.37,0.89
604,Advance poll,1497,35.54,32.93,28.86,1.74
605,Advance poll,1953,27.14,27.14,43.01,1.23
606,Advance poll,1566,25.8,21.46,51.34,0.96
607,Advance poll,1865,28.42,25.25,43.54,1.72
608,Advance poll,1118,32.47,19.68,45.8,0.98
609,Advance poll,1437,27,31.94,37.79,1.88
610,Advance poll,882,26.76,22.34,48.19,1.81
611,Advance poll,1288,27.33,33.15,36.65,1.71
612,Advance poll,1139,30.64,28.18,36.08,3.07
613,Advance poll,958,33.72,32.57,29.65,2.19
614,Advance poll,1893,33.02,22.98,41.73,1.27
S/R 1,SVR Group 1,832,33.29,24.52,32.33,1.8
S/R 2,SVR GROUP 2,2082,30.31,23.82,41.45,1.87
,Totals,"59,483",29.07,34.02,33.39,1.95
